sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
380	T22	T22/g1/r6	scenario	group 1 @ 0xADA0; record 6	group-compressed	しきょう「これから このむすめのひあぶりを{CTRL:0} おこなうのだが… みせしめのため もっとひとが{CTRL:0} あつまってからのほうが おもしろいのう{CTRL:6} ふぉふぉふぉ……」	しきょう「これから このむすめのひあぶりを ⟦CTRL:0⟧  おこなうのだが… みせしめのため もっとひとが ⟦CTRL:0⟧  あつまってからのほうが おもしろいのう ⟦CTRL:6⟧  ふぉふぉふぉ……」	shikyou「korekara konomusumenohiaburio /  okonaunodaga… miseshimenotame mottohitoga /  atsumattekaranohouga omoshiroinou /  fofofo……」	しきょう「これから このむすめのひあぶりを おこなうのだが… みせしめのため もっとひとが あつまってからのほうが おもしろいのう ふぉふぉふぉ……」	Bishop: She will burn,{CTRL:0}once a crowd gathers.{CTRL:0}A public lesson is best.{CTRL:6}Ho ho ho...	Bishop: She will burn, ⟦CTRL:0⟧ once a crowd gathers. ⟦CTRL:0⟧ A public lesson is best. ⟦CTRL:6⟧ Ho ho ho...	0,0,6	0,0,6	yes	hiragana:63; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	のう: elderly/reflective sentence ending; often fictional voice	むすめ → 娘	ellipsis carries timing/hesitation tone	medium		
381	T22	T22/g1/r7	scenario	group 1 @ 0xADA0; record 7	group-compressed	しきょう「さかや るごーのまごむすめ{CTRL:0} じゃんぬ・だるくは あくまのせんれいをうけ{CTRL:0} みにくき よくぼうのとりこと なりはてた……{CTRL:6} よってきょうかいのなにより しけいにしょす」	しきょう「さかや るごーのまごむすめ ⟦CTRL:0⟧  じゃんぬ・だるくは あくまのせんれいをうけ ⟦CTRL:0⟧  みにくき よくぼうのとりこと なりはてた…… ⟦CTRL:6⟧  よってきょうかいのなにより しけいにしょす」	shikyou「sakaya rugoonomagomusume /  jannu・darukuha akumanosenreiouke /  minikuki yokubounotorikoto narihateta…… /  yottekyoukainonaniyori shikeinishosu」	しきょう「さかや るごーのまごむすめ じゃんぬ・だるくは あくまのせんれいをうけ みにくき よくぼうのとりこと なりはてた…… よってきょうかいのなにより しけいにしょす」	Bishop: Jeanne d'Arc,{CTRL:0}Lugot's granddaughter,{CTRL:0}Devil-baptized, depraved{CTRL:6}Church orders her death.	Bishop: Jeanne d'Arc, ⟦CTRL:0⟧ Lugot's granddaughter, ⟦CTRL:0⟧ Devil-baptized, depraved ⟦CTRL:6⟧ Church orders her death.	0,0,6	0,0,6	yes	hiragana:72; katakana:2; kanji:0; Latin:0; digits:0		じゃんぬ → ジャンヌ (Jeanne) | きょうかい → 教会 | しけい → 死刑 | あくま → 悪魔 | むすめ → 娘	ellipsis carries timing/hesitation tone	low		
382	T22	T22/g1/r8	scenario	group 1 @ 0xADA0; record 8	group-compressed	だんしゃく「まて／ まて／ まて／{CTRL:0} そのむすめは まじょなんかじゃない／{CTRL:0} あくまのてさきは しきょうのほうだ／」	だんしゃく「まて／ まて／ まて／ ⟦CTRL:0⟧  そのむすめは まじょなんかじゃない／ ⟦CTRL:0⟧  あくまのてさきは しきょうのほうだ／」	danshaku「mate／ mate／ mate／ /  sonomusumeha majonankajanai／ /  akumanotesakiha shikyounohouda／」	だんしゃく「まて／ まて／ まて／ そのむすめは まじょなんかじゃない／ あくまのてさきは しきょうのほうだ／」	Baron: Stop! Stop! Stop!{CTRL:0}That girl is no witch!{CTRL:0}The bishop serves Satan!	Baron: Stop! Stop! Stop! ⟦CTRL:0⟧ That girl is no witch! ⟦CTRL:0⟧ The bishop serves Satan!	0,0	0,0	yes	hiragana:43; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	あくま → 悪魔 | むすめ → 娘		medium		
383	T22	T22/g1/r9	scenario	group 1 @ 0xADA0; record 9	group-compressed	しきょう「た たわけたことを……」{CTRL:1}だんしゃく「だまれ／ おまえがあくまとかわした{CTRL:0} このけいやくしょが うごかぬしょうこだ／」	しきょう「た たわけたことを……」 ⟦CTRL:1⟧ だんしゃく「だまれ／ おまえがあくまとかわした ⟦CTRL:0⟧  このけいやくしょが うごかぬしょうこだ／」	shikyou「ta tawaketakotoo……」 / danshaku「damare／ omaegaakumatokawashita /  konokeiyakushoga ugokanushoukoda／」	しきょう「た たわけたことを……」だんしゃく「だまれ／ おまえがあくまとかわした このけいやくしょが うごかぬしょうこだ／」	Bishop: N-nonsense...{CTRL:1}Baron: Quiet! Your pact{CTRL:0}with the Devil is proof!	Bishop: N-nonsense... ⟦CTRL:1⟧ Baron: Quiet! Your pact ⟦CTRL:0⟧ with the Devil is proof!	1,0	1,0	yes	hiragana:50; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	わし: elderly or authoritative masculine first person; character voice, not necessarily regional | おまえ: familiar or rough second person; relationship and tone matter	あくま → 悪魔	ellipsis carries timing/hesitation tone	medium		
384	T22	T22/g1/r10	scenario	group 1 @ 0xADA0; record 10	group-compressed	じょうないがいっしゅん みずをうったように{CTRL:0}しずまりかえった{CTRL:2}そして……{CTRL:0}{CTRL:3}……「よくもいままで……／」{CTRL:3}……「むすめを おろせ／」{CTRL:4}……「しきょうを やっつけろ／ やつこそ{CTRL:4} ひあぶりだ／」	じょうないがいっしゅん みずをうったように ⟦CTRL:0⟧ しずまりかえった ⟦CTRL:2⟧ そして…… ⟦CTRL:0⟧  ⟦CTRL:3⟧ ……「よくもいままで……／」 ⟦CTRL:3⟧ ……「むすめを おろせ／」 ⟦CTRL:4⟧ ……「しきょうを やっつけろ／ やつこそ ⟦CTRL:4⟧  ひあぶりだ／」	jounaigaisshun mizuouttayouni / shizumarikaetta / soshite…… /  / ……「yokumoimamade……／」 / ……「musumeo orose／」 / ……「shikyouo yattsukero／ yatsukoso /  hiaburida／」	じょうないがいっしゅん みずをうったようにしずまりかえったそして…………「よくもいままで……／」……「むすめを おろせ／」……「しきょうを やっつけろ／ やつこそ ひあぶりだ／」	The crowd falls silent.{CTRL:0}Then...{CTRL:2}{CTRL:0}{CTRL:3}Man: You deceived us!{CTRL:3}Man: Lower the girl!{CTRL:4}Man: Get the bishop! He{CTRL:4}belongs on the pyre!	The crowd falls silent. ⟦CTRL:0⟧ Then... ⟦CTRL:2⟧  ⟦CTRL:0⟧  ⟦CTRL:3⟧ Man: You deceived us! ⟦CTRL:3⟧ Man: Lower the girl! ⟦CTRL:4⟧ Man: Get the bishop! He ⟦CTRL:4⟧ belongs on the pyre!	0,2,0,3,3,4,4	0,2,0,3,3,4,4	yes	hiragana:64; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		むすめ → 娘	ellipsis carries timing/hesitation tone	low		
385	T22	T22/g1/r11	scenario	group 1 @ 0xADA0; record 11	group-compressed	しきょう「ま まあまて…… はなせばわかる……」{CTRL:0}……「うるせーーっ／」{CTRL:0}しきょう「わあああーーっ／」	しきょう「ま まあまて…… はなせばわかる……」 ⟦CTRL:0⟧ ……「うるせーーっ／」 ⟦CTRL:0⟧ しきょう「わあああーーっ／」	shikyou「ma maamate…… hanasebawakaru……」 / ……「uruseee／」 / sshikyou「waaaaaa／」	しきょう「ま まあまて…… はなせばわかる……」……「うるせーーっ／」しきょう「わあああーーっ／」	Bishop: W-wait! Listen!{CTRL:0}Man: Shut up!{CTRL:0}Bishop: Aaaah!!	Bishop: W-wait! Listen! ⟦CTRL:0⟧ Man: Shut up! ⟦CTRL:0⟧ Bishop: Aaaah!!	0,0	0,0	yes	hiragana:29; katakana:4; kanji:0; Latin:0; digits:0		わかる → 分かる	ellipsis carries timing/hesitation tone	low		
386	T22	T22/g1/r12	scenario	group 1 @ 0xADA0; record 12	group-compressed	ひは まだついていない	ひは まだついていない	hiha madatsuiteinai	ひは まだついていない	The fire is not lit yet.	The fire is not lit yet.			yes	hiragana:10; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
387	T22	T22/g1/r13	scenario	group 1 @ 0xADA0; record 13	group-compressed	ぐったりと したをむいたままだ	ぐったりと したをむいたままだ	guttarito shitaomuitamamada	ぐったりと したをむいたままだ	Her head hangs limp.	Her head hangs limp.			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
388	T22	T22/g1/r14	scenario	group 1 @ 0xADA0; record 14	group-compressed	じわじわと くるしめるつもりか	じわじわと くるしめるつもりか	jiwajiwato kurushimerutsumorika	じわじわと くるしめるつもりか	Slowly tormenting her...	Slowly tormenting her...			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
389	T22	T22/g1/r15	scenario	group 1 @ 0xADA0; record 15	group-compressed	めを まっかになきはらしている	めを まっかになきはらしている	meo makkaninakiharashiteiru	めを まっかになきはらしている	His eyes are red, puffy.	His eyes are red, puffy.			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
390	T22	T22/g1/r16	scenario	group 1 @ 0xADA0; record 16	group-compressed	いきをのんで しょけいだいをみつめている	いきをのんで しょけいだいをみつめている	ikiononde shokeidaiomitsumeteiru	いきをのんで しょけいだいをみつめている	He watches the scaffold.	He watches the scaffold.			yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
391	T22	T22/g1/r17	scenario	group 1 @ 0xADA0; record 17	group-compressed	……「ちくしょう みちゃいられない…」{CTRL:0}……「かみさま…／」	……「ちくしょう みちゃいられない…」 ⟦CTRL:0⟧ ……「かみさま…／」	……「chikushou michairarenai…」 / ……「kamisama…／」	……「ちくしょう みちゃいられない…」……「かみさま…／」	Man: Damn, can't watch.{CTRL:0}Man: God help her!	Man: Damn, can't watch. ⟦CTRL:0⟧ Man: God help her!	0	0	yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	さま: -sama: high respect, worship, status, or irony	かみさま → 神様	ellipsis carries timing/hesitation tone	medium		
392	T22	T22/g1/r18	scenario	group 1 @ 0xADA0; record 18	group-compressed	しきょう「ぶ ぶれいもの はなせ／ こら／{CTRL:0} きさまら このままですむとおもうな／」	しきょう「ぶ ぶれいもの はなせ／ こら／ ⟦CTRL:0⟧  きさまら このままですむとおもうな／」	shikyou「bu bureimono hanase／ kora／ /  kisamara konomamadesumutoomouna／」	しきょう「ぶ ぶれいもの はなせ／ こら／ きさまら このままですむとおもうな／」	Bishop: L-let go, fools!{CTRL:0}You'll pay for this!	Bishop: L-let go, fools! ⟦CTRL:0⟧ You'll pay for this!	0	0	yes	hiragana:31; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	きさま: hostile/contemptuous second person in modern usage	おもう → 思う		medium		
393	T22	T22/g1/r19	scenario	group 1 @ 0xADA0; record 19	group-compressed	るごー「しっかりしろ じゃんぬ／」{CTRL:0}じゃんぬ「うぅ……」	るごー「しっかりしろ じゃんぬ／」 ⟦CTRL:0⟧ じゃんぬ「うぅ……」	rugoo「shikkarishiro jannu／」 / jannu「uu……」	るごー「しっかりしろ じゃんぬ／」じゃんぬ「うぅ……」	Lugot: Hold on, Jeanne!{CTRL:0}Jeanne: Ugh...	Lugot: Hold on, Jeanne! ⟦CTRL:0⟧ Jeanne: Ugh...	0	0	yes	hiragana:18; katakana:1; kanji:0; Latin:0; digits:0		じゃんぬ → ジャンヌ (Jeanne)	ellipsis carries timing/hesitation tone	low		
394	T22	T22/g1/r20	scenario	group 1 @ 0xADA0; record 20	group-compressed	{CTRL:0}{CTRL:0}るごー「よかった…… お おおーーん／」{CTRL:6}じゃんぬ「いまわたし…… はりつけになりながら{CTRL:4} かみさまのおつげを きいた……」{CTRL:3}るごー「おつげ！」{CTRL:3}じゃんぬ「じゅんぱくのよろいを みにつけ{CTRL:4} そこくのためにたたかえ{CTRL:3} おまえのはしりぬけたあとに かならずや{CTRL:4} あたらしいみちが できる……と」{CTRL:3}るごー「じゃんぬ……」	⟦CTRL:0⟧  ⟦CTRL:0⟧ るごー「よかった…… お おおーーん／」 ⟦CTRL:6⟧ じゃんぬ「いまわたし…… はりつけになりながら ⟦CTRL:4⟧  かみさまのおつげを きいた……」 ⟦CTRL:3⟧ るごー「おつげ！」 ⟦CTRL:3⟧ じゃんぬ「じゅんぱくのよろいを みにつけ ⟦CTRL:4⟧  そこくのためにたたかえ ⟦CTRL:3⟧  おまえのはしりぬけたあとに かならずや ⟦CTRL:4⟧  あたらしいみちが できる……と」 ⟦CTRL:3⟧ るごー「じゃんぬ……」	 /  / rugoo「yokatta…… o oooon／」 / jannu「imawatashi…… haritsukeninarinagara /  kamisamanootsugeo kiita……」 / rugoo「otsuge！」 / jannu「junpakunoyoroio minitsuke /  sokokunotamenitatakae /  omaenohashirinuketaatoni kanarazuya /  atarashiimichiga dekiru……to」 / rugoo「jannu……」	るごー「よかった…… お おおーーん／」じゃんぬ「いまわたし…… はりつけになりながら かみさまのおつげを きいた……」るごー「おつげ！」じゃんぬ「じゅんぱくのよろいを みにつけ そこくのためにたたかえ おまえのはしりぬけたあとに かならずや あたらしいみちが できる……と」るごー「じゃんぬ……」	{CTRL:0}{CTRL:0}Lugot: Thank God... sob!{CTRL:6}Jeanne: On that cross...{CTRL:4}I heard God's message.{CTRL:3}Lugot: A revelation?!{CTRL:3}Jeanne: Don white armor,{CTRL:4}fight for your homeland.{CTRL:3}Where you charge ahead,{CTRL:4}a new road will open...{CTRL:3}Lugot: Jeanne...	⟦CTRL:0⟧  ⟦CTRL:0⟧ Lugot: Thank God... sob! ⟦CTRL:6⟧ Jeanne: On that cross... ⟦CTRL:4⟧ I heard God's message. ⟦CTRL:3⟧ Lugot: A revelation?! ⟦CTRL:3⟧ Jeanne: Don white armor, ⟦CTRL:4⟧ fight for your homeland. ⟦CTRL:3⟧ Where you charge ahead, ⟦CTRL:4⟧ a new road will open... ⟦CTRL:3⟧ Lugot: Jeanne...	0,0,6,4,3,3,4,3,4,3	0,0,6,4,3,3,4,3,4,3	yes	hiragana:111; katakana:5; kanji:0; Latin:0; digits:0	おまえ: familiar or rough second person; relationship and tone matter | さま: -sama: high respect, worship, status, or irony | ぬ: literary/archaic negative	じゃんぬ → ジャンヌ (Jeanne) | かみさま → 神様	ellipsis carries timing/hesitation tone	medium		
